word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
chcphdy,15215,21585,6370,f76r,f85r1,M,N,B,B,T,T
qotes,15353,30031,14678,f76r,f106r,M,T,B,B,T,S
qolal,15445,16219,774,f76r,f77r,M,M,B,B,T,B
ollchy,15539,20598,5059,f76r,f83v,M,M,B,B,T,B
yksheol,15580,30784,15204,f76r,f107r,M,T,B,B,T,S
rory,15707,25673,9966,f76r,f99r,M,S,B,A,T,P
chedor,15732,29589,13857,f76r,f105v,M,T,B,B,T,S
chdol,15745,35608,19863,f76r,f114r,M,T,B,B,T,S
polarar,15765,27547,11782,f76v,f103r,M,T,B,B,B,S
cholkeeey,15777,29890,14113,f76v,f106r,M,T,B,B,B,S
shedam,15875,32725,16850,f76v,f111r,M,T,B,B,B,S
oleeedy,15896,27825,11929,f76v,f103v,M,T,B,B,B,S
deedy,15908,16883,975,f76v,f78r,M,M,B,B,B,B
sheolol,15925,24593,8668,f76v,f90v1,M,O,B,A,B,H
qodeey,15934,28729,12795,f76v,f104v,M,T,B,B,B,S
salkeedy,15968,32927,16959,f76v,f111r,M,T,B,B,B,S
psheoldy,16000,18747,2747,f76v,f80v,M,M,B,B,B,B
ychees,16095,36899,20804,f76v,f115v,M,T,B,B,B,S
lshety,16108,19366,3258,f76v,f81v,M,M,B,B,B,B
qeedy,16110,16587,477,f76v,f77v,M,M,B,B,B,B
qolsheedy,16213,16509,296,f77r,f77v,M,M,B,B,B,B
qolcheedy,16243,32465,16222,f77r,f108v,M,T,B,B,B,S
qolchy,16314,22041,5727,f77r,f86v6,M,N,B,B,B,T
lod,16470,28106,11636,f77r,f104r,M,T,B,B,B,S
oloky,16487,18262,1775,f77r,f80r,M,M,B,B,B,B
rchr,16511,16726,215,f77v,f77v,M,M,B,B,B,B
tchedar,16541,29053,12512,f77v,f105r,M,T,B,B,B,S
salchedy,16637,20739,4102,f77v,f84r,M,M,B,B,B,B
qotas,16640,17718,1078,f77v,f79r,M,M,B,B,B,B
oqokain,16646,37708,21062,f77v,f116r,M,T,B,B,B,S
ldol,16686,18960,2274,f77v,f80v,M,M,B,B,B,B
qolshedy,16730,17141,411,f77v,f78v,M,M,B,B,B,B
qckhedy,16841,29922,13081,f78r,f106r,M,T,B,B,B,S
shekedy,16899,20993,4094,f78r,f84r,M,M,B,B,B,B
qeedar,16991,34132,17141,f78r,f112r,M,T,B,B,B,S
porain,16998,31475,14477,f78r,f107v,M,T,B,B,B,S
tchal,17002,19940,2938,f78r,f82v,M,M,B,B,B,B
lshdy,17151,17422,271,f78v,f79r,M,M,B,B,B,B
dkedy,17195,20960,3765,f78v,f84r,M,M,B,B,B,B
qolcheol,17337,36399,19062,f78v,f115r,M,T,B,B,B,S
oltal,17392,22853,5461,f78v,f86v5,M,N,B,B,B,T
opcholor,17418,21171,3753,f79r,f84v,M,M,B,B,B,B
sheekeey,17444,33211,15767,f79r,f111v,M,T,B,B,B,S
qolshy,17447,31729,14282,f79r,f108r,M,T,B,B,B,S
qoteesy,17507,19029,1522,f79r,f81r,M,M,B,B,B,B
