word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
polkeey,17630,22828,5198,f79r,f86v6,M,N,B,B,B,T
otshdy,17632,20110,2478,f79r,f83r,M,M,B,B,B,B
yshe<152>y,17637,25499,7862,f79r,f94v,M,Q,B,B,B,H
qot<221>l,17708,29967,12259,f79v,f105v,M,T,B,B,B,S
oroiiin,17857,19887,2030,f79v,f82v,M,M,B,B,B,B
ksheol,17900,23838,5938,f79v,f87v,M,O,B,A,B,H
lko,17910,37650,19740,f79v,f115v,M,T,B,B,B,S
ocheey,17938,27730,9792,f79v,f103r,M,T,B,B,B,S
p<221>iin,18120,22919,4799,f80r,f86v6,M,N,B,B,B,T
dalom,18152,37320,19168,f80r,f115r,M,T,B,B,B,S
oltain,18162,18773,611,f80r,f80v,M,M,B,B,B,B
<221>lky,18223,34899,16676,f80r,f112v,M,T,B,B,B,S
korchy,18236,30343,12107,f80r,f106r,M,T,B,B,B,S
cheykain,18275,27935,9660,f80r,f103r,M,T,B,B,B,S
lsheol,18300,35496,17196,f80r,f113r,M,T,B,B,B,S
oroly,18368,20751,2383,f80r,f84r,M,M,B,B,B,B
lteey,18399,31277,12878,f80r,f107r,M,T,B,B,B,S
qotl,18421,34282,15861,f80r,f111v,M,T,B,B,B,S
roly,18484,28973,10489,f80v,f104r,M,T,B,B,B,S
oithy,18511,33537,15026,f80v,f111r,M,T,B,B,B,S
dolshedy,18557,19675,1118,f80v,f82v,M,M,B,B,B,B
t<221>l,18562,32046,13484,f80v,f107v,M,T,B,B,B,S
qopshedy,18593,18668,75,f80v,f80v,M,M,B,B,B,B
solcheol,18620,20061,1441,f80v,f83r,M,M,B,B,B,B
oltydy,18639,30870,12231,f80v,f106v,M,T,B,B,B,S
oloraiin,18654,28132,9478,f80v,f103r,M,T,B,B,B,S
oltaiin,18709,36877,18168,f80v,f114v,M,T,B,B,B,S
sheyr,18764,24254,5490,f80v,f89r1,M,O,B,A,B,P
okiin,18779,35994,17215,f80v,f113v,M,T,B,B,B,S
qcthy,18806,29032,10226,f80v,f104r,M,T,B,B,B,S
lkol,18835,30195,11360,f80v,f105v,M,T,B,B,B,S
shkain,18854,38377,19523,f80v,f116r,M,T,B,B,B,S
opched<222>,18867,30079,11212,f81r,f105v,M,T,B,B,B,S
lchl,19050,29870,10820,f81r,f105r,M,T,B,B,B,S
sheckhal,19143,20470,1327,f81v,f83v,M,M,B,B,B,B
yar,19160,34798,15638,f81v,f112r,M,T,B,B,B,S
chetedy,19195,19650,455,f81v,f82v,M,M,B,B,B,B
ykechey,19198,37227,18029,f81v,f115r,M,T,B,B,B,S
ltary,19223,28115,8892,f81v,f103r,M,T,B,B,B,S
lte<152>y,19271,23038,3767,f81v,f86v5,M,N,B,B,B,T
qekchy,19291,28498,9207,f81v,f103v,M,T,B,B,B,S
qotedor,19415,29195,9780,f82r,f104v,M,T,B,B,B,S
deeedy,19440,29808,10368,f82r,f105r,M,T,B,B,B,S
polched,19474,37612,18138,f82r,f115v,M,T,B,B,B,S
qokeeed<222>,19521,36956,17435,f82r,f114v,M,T,B,B,B,S
qok<221>iin,19562,29070,9508,f82r,f104r,M,T,B,B,B,S
rag,19589,31954,12365,f82r,f107v,M,T,B,B,B,S
shedydy,19647,21091,1444,f82v,f84v,M,M,B,B,B,B
